name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Lachie Schultz",COL,FWD,"Scissorlift Victims Unit",28,136,8,174.4,93.16,76.3,75.6,756,69.6,67.7,53,10,79.5,8.5,6.9,4.8,0,4.4,1.5,1.3,1,0.7
"Alex Neal-Bullen",ADE,FWD,"Banks' Palm Cards",30,209,12,235.0,86.46,70.6,75.5,604,78.8,81.3,85,8,82.3,10.9,6.4,4.8,0,2.9,0.5,0.8,0.9,0.9
"Mac Andrew",GCS,DEF,GuldenEye,22,75,5,227.8,84.40,61,75.5,755,88,93.7,85,10,87.7,10.8,7.9,6.7,2.5,1.8,1.2,1.3,0,0.2
"Max Hall",STK,FWD,"Prince McAndrew",24,32,3,142.3,92.75,68.9,75.4,679,70.8,86.7,98,9,81.2,9.8,8.1,4.4,0,2.6,0.8,0.6,1.1,0.6
"Ned Long",COL,MID,"The Forrie Crystals",23,46,5,132.9,86.18,79.2,75.3,678,79.2,82.7,78,9,72.9,6.9,10,2.6,0,6.8,0.4,1.1,0.3,0.8
"Ollie Hollands",CAR,DEF/MID,"Houston we have a problem",22,73,4,135.8,87.00,78.8,75.3,602,77.4,69.3,79,8,86.6,11.5,6.9,5.8,0,2.5,0.8,0.6,0.1,0.1
"Angus Sheldrick",SYD,MID,"The Forrie Crystals",22,38,5,183.3,87.96,72.1,75,675,70.2,64.3,65,9,59.4,10.2,10.6,2.3,0,3.8,0.9,0.7,0.3,0.2
"Jake Lever",MEL,DEF,"The Forrie Crystals",30,195,12,,39.95,56.1,74.9,674,74.2,78.3,93,9,93.8,12.7,3.4,8.3,0,1.7,1,0.9,0,0
"Jack Bowes",GEE,MID,"The Forrie Crystals",28,149,10,,58.28,64.3,74.8,449,75.2,69.3,93,6,71.3,10,8.8,4.2,0,2.5,1,0.7,0.8,0.7
"Harvey Thomas",GWS,MID/FWD,"Scissorlift Victims Unit",20,49,3,309.4,81.40,57,74.7,672,69.2,70,73,9,84.1,9.9,10.6,3.8,0,3.1,0.8,1,0.3,0.3
"Keidean Coleman",BRL,DEF,"Lachie’s Flesh Clarrynet",26,76,7,133.2,92.89,74.6,74.6,746,72.4,76.7,55,10,78.9,13.5,5,6.3,0,1.1,0.5,0.3,0.2,0
"Isaac Quaynor",COL,DEF,"Naughty Dog Entertainment",26,143,8,325.3,59.10,59.3,74.4,744,72.6,75.3,88,10,83.6,11.3,6.5,6.3,0,2.5,0.7,0.7,0,0
"Cooper Lord",CAR,MID,"Banks' Palm Cards",21,26,3,181.8,78.11,75.4,74.3,223,74.3,74.3,67,3,72.3,11,10.3,2.7,0,2.7,1.3,0.7,0.3,0.7
"Mitch Lewis",HAW,FWD,"Heartbreak Jake & da Subs",27,87,10,315.8,70.31,62.5,74.3,669,80.6,68.3,70,9,79.8,9.1,4.6,7.1,0,1.7,1,0.6,1.6,1.2
"Peter Wright",ESS,RUC/FWD,"JD Vyvance",29,161,12,207.9,91.66,71,74.2,668,86.4,87.7,101,9,81.2,8.6,5.2,4.6,14.2,1.1,1.4,1.3,1.2,1
"Finn O'Sullivan",NTH,DEF/MID,"Kids can call you Bont-ju",19,29,2,126.8,93.02,72.4,74.1,519,80.8,76.7,74,7,82.6,10.3,10.4,3.9,0,2.7,0.7,1.4,0.6,0.1
"Tom McCartin",SYD,DEF,"Prince McAndrew",26,160,9,,48.02,53.9,74.1,593,84.2,93,91,8,94.8,9.5,11.3,7,0,1.1,1.4,1.3,0,0
"Hayden McLean",SYD,FWD,"Free Agent",27,99,8,,14.23,56.3,74,74,74,74,74,1,70,6,7,4,6,1,2,0,3,0
"Ned Moyle",GCS,RUC,"Kids can call you Bont-ju",24,16,6,205.9,82.35,65,74,222,74,74,79,3,83.7,6.3,4.7,3,22.7,2.3,1.3,1,1,0.3
"Nick Haynes",CAR,DEF,"Houston we have a problem",33,239,15,289.4,55.95,71.5,73.8,369,73.8,72.7,60,5,87.4,12.8,5.2,6.4,0,2,0.2,0.8,0,0
"Jake Waterman",WCE,FWD,"Heartbreak Jake & da Subs",28,121,10,189.6,84.40,72.6,73.7,663,81.2,82.3,82,9,87.2,10.2,2.6,6.6,0,1,1.7,0.8,2,2.9
"Liam Duggan",WCE,DEF,"Banks' Palm Cards",29,209,12,161.6,85.77,83.2,73.6,662,76.6,72.7,86,9,79.9,13.3,5.8,5.2,0,1.8,1,0.7,0,0.2
"Deven Robertson",WCE,MID/FWD,"Free Agent",24,51,7,174.8,59.64,64.7,73.5,294,73.5,63.3,59,4,74.5,9.3,9.3,2.3,0,5.5,0.8,0.8,0,0
"Daniel Rioli",GCS,DEF,"JD Vyvance",29,213,11,185.0,87.00,74.3,73.4,734,83.2,90,78,10,81.4,11,9.2,4.1,0,2.5,0.7,0.8,0.2,0.2
"Harley Reid",WCE,MID,GuldenEye,21,48,3,55.0,95.76,86.7,73.4,661,74.4,79.7,78,9,80.7,10.8,12.2,2.7,0,2.3,1.8,2.6,0.8,0.6
"Connor Idun",GWS,DEF,"Houston we have a problem",25,126,8,206.6,80.57,72.7,73.3,660,71,79,83,9,98.3,10.2,10.1,5.7,0,1.7,0.4,0.6,0,0
"James Worpel",GEE,MID,"Banks' Palm Cards",27,154,9,147.1,87.00,79.7,73.3,440,69.6,68,87,6,70,9.5,8,2.8,0,5.5,1,2,0.5,0.3
"Joe Fonti",GWS,DEF,GuldenEye,21,29,3,297.3,78.11,52.6,73.3,586,67.8,63.7,46,8,82.4,10.1,7,6.4,0,3.1,0.6,1.1,0,0
"James Rowbottom",SYD,MID,"Heartbreak Jake & da Subs",25,150,8,154.8,89.06,78.8,73.2,732,63.2,59.7,61,10,72.9,8.1,8.1,1.9,0,6.6,1.7,0.6,0.1,0.1
"Darcy Byrne-Jones",PTA,DEF/FWD,"Jags to riches",30,231,13,,60.60,55.7,73.1,731,75,79,89,10,77.8,11.1,6.8,5.1,0,2,0.6,0.1,0.4,0.2
"Patrick Lipinski",COL,MID/FWD,"JD Vyvance",27,150,10,207.5,84.68,67.9,73.1,658,79.2,75,78,9,80.8,9.2,10.4,4.6,0,2.7,0.7,0.8,0.2,0.6
"Dylan Moore",HAW,FWD,"Scissorlift Victims Unit",26,134,9,61.3,96.31,85.8,73,584,68.6,62,55,8,89.1,9.8,9,3.8,0,2.4,0.5,0.8,1,0.8
"Hugh McCluggage",BRL,MID,"Jags to riches",28,216,10,29.9,98.63,102.4,73,511,80,84.7,52,7,62.6,10,7,4.4,0,3.1,0.3,0.7,0.7,0.7
"Jack Graham",WCE,MID/FWD,"Houston we have a problem",28,154,10,111.1,83.86,82.6,73,365,73,64.3,55,5,74,9.6,8,2.2,0,6.6,1.8,3,0.4,0
"Ryan Maric",WCE,DEF/MID,"Houston we have a problem",21,55,4,160.0,82.90,76.3,73,292,73,72.3,52,4,80.8,10.5,9.3,4.5,0,2.5,0.3,0.8,0.3,0
"Brayden Cook",ADE,MID/FWD,"The Forrie Crystals",23,39,6,305.9,76.20,54.3,72.8,655,76.8,82.3,83,9,82.6,11.7,6.4,5.3,0,1.4,0.4,0.3,0.6,0.3
"Cam Mackenzie",HAW,MID,"Naughty Dog Entertainment",22,53,4,198.2,83.72,64.3,72.7,509,68.2,73,62,7,69.3,9.7,9.6,3.1,0,3.9,1,0.9,0.1,0.3
"Aaron Cadman",GWS,FWD,"Jags to riches",22,63,4,200.2,84.82,58.4,72.5,290,72.5,73.3,72,4,84,8.3,4.3,5.3,0,1.5,1.3,0,2.5,1.3
"Joe Richards",PTA,FWD,"Scissorlift Victims Unit",26,41,4,267.4,74.83,65.1,72.5,725,69.6,61.3,84,10,80.5,10.1,5.6,4,0,3.8,0.4,0.5,0.7,0.7
"Sam Durham",ESS,MID,"Lachie’s Flesh Clarrynet",24,100,6,99.8,93.30,82.2,72.4,652,76.8,83,93,9,78.3,9.1,10.4,3.2,0,4,1.2,2,0.6,0
"Jack Lukosius",PTA,FWD,"Free Agent",25,127,8,317.6,42.27,59,72.3,289,72.3,62.7,54,4,81.5,10.3,3,6.3,0,2,0.3,0.5,1.5,1
"Jai Serong",SYD,DEF/MID,"Baz’s 8-balls",23,19,5,281.5,73.46,40.9,72.3,651,71.2,74.7,79,9,87.2,10.3,8,5,0,2.8,0.9,1,0.2,0
"Kane McAuliffe",RIC,MID,"The Forrie Crystals",21,20,3,206.2,80.16,70.7,72.3,434,76.8,70.7,30,6,73.2,11.7,7.3,3.3,0,3.3,1.5,1.5,0.3,0.3
"Lachie Jaques",WBD,DEF,"Free Agent",19,6,2,258.5,71.55,52.9,72,432,71.2,56.7,57,6,77.7,11.3,6.2,4.8,0,2.7,1.3,0.3,0,0.2
"Charlie Cameron",BRL,FWD,"Free Agent",31,264,13,,48.02,53.3,71.7,717,75.6,67.7,77,10,80,10.3,2.1,3.9,0,2.8,1.4,0.7,2.3,0.6
"Logan Morris",BRL,FWD,GuldenEye,21,54,3,221.8,82.76,61.5,71.7,645,68.6,72.7,74,9,79.7,9.6,2.7,5.4,0,0.9,1.3,0.2,2.6,1.8
"Shaun Mannagh",GEE,FWD,"JD Vyvance",28,45,3,76.3,94.66,88,71.7,717,82.8,95.7,129,10,82.3,11.6,4.3,2.5,0,2.2,1,0.1,1.8,0.5
"Bailey J. Williams",WCE,RUC/FWD,"Kids can call you Bont-ju",26,93,8,,75.51,56.8,71.6,358,71.6,66.3,69,5,75.4,6.8,6.2,2,23.8,2.2,2.2,1.6,0.4,0.4
"Christian Salem",MEL,DEF,iWalshMyslfwthATonInMyMid,30,204,13,91.8,91.24,92,71.6,358,71.6,63,46,5,75,16.2,4.4,3.4,0,1.4,0.2,1,0.2,0
"Tom Papley",SYD,FWD,GuldenEye,29,206,11,285.2,74.97,63,71.6,716,67.4,63,42,10,74.1,10.2,5.9,3.1,0,3,1,1,1.4,1.5
"Jordan de Goey",COL,MID/FWD,"JD Vyvance",30,191,12,156.0,90.56,68.8,71.4,643,77.6,94,86,9,74.4,10.6,7.6,3.9,0,2,0.8,0.7,1,0.2
"Andrew McGrath",ESS,DEF,"Banks' Palm Cards",27,189,10,89.3,91.11,86.7,71.3,642,66,68.3,83,9,81,9.9,9.7,4.3,0,2.3,0.7,0.4,0.1,0
"Marc Pittonet",CAR,RUC,iWalshMyslfwthATonInMyMid,29,88,12,194.5,88.24,79,71.3,570,72.2,57.3,53,8,70.4,5.8,6.9,1.3,24.4,2.5,1.6,1.4,0.8,0.1
"Tom Powell",NTH,MID/FWD,"JD Vyvance",24,99,6,113.3,88.92,83.4,71.3,570,62,61.3,49,8,76.3,10.1,6.6,5,0,2.8,0.5,0.6,0.4,0.8
"Mitch Georgiades",PTA,FWD,"The Forrie Crystals",24,102,7,154.4,89.33,70.1,71.2,712,71.6,61,41,10,91.4,8.4,4,6.1,0,1.3,0.6,1.4,2.6,2.5
"Brent Daniels",GWS,FWD,"Lachie’s Flesh Clarrynet",27,115,9,139.2,91.93,75.7,71,284,71,73,77,4,72.8,10.8,6.8,3.5,0,1.8,0.8,0.8,1.5,0.3
"Harry Morrison",HAW,MID,"Free Agent",27,125,10,277.3,42.13,71.6,71,142,71,71,73,2,81.5,10.5,8,5,0,3,1,1.5,0,0
"Liam Henry",STK,FWD,iWalshMyslfwthATonInMyMid,24,63,7,,47.33,58.9,71,142,71,71,56,2,57.5,9.5,5,4.5,0,1.5,0.5,0,2,0.5
"Ollie Dempsey",GEE,MID/FWD,"The Forrie Crystals",23,68,5,100.1,94.25,75.8,71,710,71.8,68.3,73,10,86.5,8,10.4,4.3,0,1.9,0.5,0.5,1,0.7
